row_id,openemr_claim,doc_url,quote,fetched,result,evidence
IDN-001,"One OpenEMR install serves multiple facilities from a single shared patient database, so a patient carries one identity across facilities in that install; no enterprise MPI or cross-instance/probabilistic patient matching is documented.",https://www.open-emr.org/wiki/index.php/OpenEMR_Features,"Supports multiple facilities",2026-07-14,not_tested,claimed
IDN-002,"Documents patient merge via Admin->Patients->Manage Duplicates (Merge and Discard), but the merge is explicitly non-recoverable; no unmerge/reversal is documented.",https://www.open-emr.org/wiki/index.php/Clinical_Quality_Measures_Patient_De-Duplication,"Note this is a non-recoverable operation. For production machines it is recommended that you backup your system (database and documents) before doing any patient data merging.",2026-07-14,not_tested,claimed
IDN-003,"Single shared database makes a demographic correction enterprise-wide by construction; prior-value/update history is captured by the audit log (patient record updated events with user and time), not a field-level demographic version history.",https://www.open-emr.org/wiki/index.php/3.1_Auditing_in_OpenEMR,"Patient record created/viewed/updated/deleted",2026-07-14,not_tested,claimed
IDN-004,"Documents HL7 support generally and an HL7 v2.5.1 ORU results interface (commonly via Mirth Connect); native inbound ADT (A01/A02/A03/A08 and cancels) ingestion/routing is not documented as a built-in feature.",https://www.open-emr.org/wiki/index.php/Technical_Aspects_of_OpenEMR,"OpenEMR supports HL7 and the ANSI X12 EDI billing standards.",2026-07-14,not_tested,claimed
IDN-005,"Ambulatory-focused; no documented inpatient transfer workflow that preserves an active encounter's medication list/allergies/orders/results across sites. The nearest documented mechanism is a CCDA transition-of-care summary via the Carecoordination module.",https://www.open-emr.org/wiki/index.php/Use_the_Carecoordination_module,"When you receive a CCDA file you may create a new patient with it or merge the information in it with an existing patient's record.",2026-07-14,not_tested,claimed
IDN-006,"Documents a calendar for creating appointments with a per-appointment status (each status has a unique symbol; the status list includes no-show and cancel) and multi-facility/provider scheduling; equipment/room as separately bookable resources is not clearly documented.",https://www.open-emr.org/wiki/index.php/Using_the_Calendar,"Choose the correct appointment status from the drop-down list. Notice each status has a unique symbol associated with it.",2026-07-14,not_tested,claimed
IDN-007,"Documents a procedure order/results interface using HL7 v2.5.1 ORU that differentiates preliminary/final/corrected results and returns results to the chart; deliberate misroute detection is not documented.",https://www.open-emr.org/wiki/index.php/Lab_Test_Results,"receive and store general laboratory results (includes ability to differentiate preliminary results and final results and the ability to process a corrected result)",2026-07-14,not_tested,claimed
IDN-008,no_documentation_found,,,2026-07-14,not_tested,
IDN-009,"The audit log attributes each action to a user (actor) with patient ID, status, and description, and facility/organization is modeled via multi-facility config; a universal owning-organization/source-system stamp on every clinical and financial record is not documented as such.",https://www.open-emr.org/wiki/index.php/3.1_Auditing_in_OpenEMR,"User Name - Name of the user who performs the task ... Patient ID - Patient Identifier",2026-07-14,not_tested,claimed
IDN-010,"ERA/835 re-upload is explicitly deduplicated (upload prevented if already loaded); general interface-level idempotency for replayed ADT/order/result/charge payloads is not documented.",https://www.open-emr.org/wiki/index.php/OpenEMR_6.x_Billing_-_Process_Payments,"If the ERA file has already been uploaded it will be noted and the upload prevented!",2026-07-14,not_tested,claimed
IDN-011,no_documentation_found,,,2026-07-14,not_tested,
IDN-012,no_documentation_found,,,2026-07-14,not_tested,
IDN-013,no_documentation_found,,,2026-07-14,not_tested,
IDN-014,"Documents multi-facility support with facility-scoped scheduling restrictions (non-authorized users restricted to their configured Schedule Facilities); full per-facility isolation of formularies, charge rules, and templates is not documented.",https://www.open-emr.org/wiki/index.php/OpenEMR_Features,"Supports multiple facilities",2026-07-14,not_tested,claimed
IDN-015,no_documentation_found,,,2026-07-14,not_tested,
