id,requirement,pillar,authority,authority_status,tier,hard_gate,evidence_level,test_procedure,result,limitation
IDN-001,The stack assigns one enterprise patient identifier and returns the same identity when the same synthetic patient registers at any facility.,idn_scale,IDN procurement norm,verified,must,yes,,Hard-gate domain=patient identity. Register the same synthetic person at two hospitals and two clinics using exact and near-match demographics; verify one enterprise identity is returned and every match decision is logged.,,
IDN-002,"An authorized user can merge confirmed duplicate patient records and reverse an erroneous merge without losing source identifiers, provenance, or clinical data.",idn_scale,IDN procurement norm,verified,must,yes,,"Hard-gate domain=patient identity. Create two records for one synthetic patient with encounters in different sites; merge them, verify a single longitudinal view and retained aliases, then unmerge and compare all records with the pre-merge manifest.",,
IDN-003,"A demographic correction made at one site propagates to the enterprise record while retaining the prior value, source, and update time.",idn_scale,IDN procurement norm,verified,must,no,,"Correct a synthetic patient's name and address at one clinic; query the patient from every configured site and verify the new values, prior-value history, source facility, and timestamps.",,
IDN-004,"The stack ingests, validates, and routes admit, discharge, and transfer events for all configured hospitals without changing facility or encounter identity.",idn_scale,Industry standard (HL7 v2 ADT); IDN procurement norm,verified,must,no,,"Replay synthetic A01, A02, A03, A08, and cancellation events from three facility senders; verify accepted and rejected messages, encounter state, facility identity, acknowledgements, and error-queue contents.",,
IDN-005,"A cross-site transfer preserves the patient's active encounter context, medication list, allergies, orders, results, and sending and receiving locations.",idn_scale,IDN procurement norm,verified,must,no,,"Transfer a synthetic inpatient from Hospital A to Hospital B; compare the sending manifest with the receiving chart and verify location history, active items, discontinued items, and transfer timestamps.",,
IDN-006,"Enterprise scheduling supports create, reschedule, cancel, and no-show operations across facility, department, provider, room, and equipment resources.",idn_scale,IDN procurement norm,verified,must,no,,"Create a multi-resource appointment at Clinic A, reschedule it to Clinic B, cancel it, and create a no-show; verify resource calendars, status history, notifications, and release of each reserved slot.",,
IDN-007,"An order entered at one site reaches the correct performing department and its result returns to the originating chart with unchanged patient, order, encounter, and facility references.",idn_scale,IDN procurement norm,verified,must,no,,"Place laboratory and imaging orders from two sites through the assembled interfaces; return synthetic results and compare identifiers and routing destinations end to end, including one deliberately misrouted result.",,
IDN-008,"A referral can be created, accepted, scheduled, completed, and closed across separate ambulatory organizations with status visible to both sides.",idn_scale,IDN procurement norm,verified,should,no,,"Send a synthetic referral from primary care to specialty care; advance it through every state, reject one invalid transition, and verify status, ownership, appointment linkage, and closure documentation in both organizations.",,
IDN-009,"Every clinical and administrative record identifies its owning organization, service location, source system, and responsible actor where applicable.",idn_scale,IDN procurement norm,verified,must,no,,"Sample patient, encounter, order, result, note, appointment, charge, and claim records created at each site; assert that organization, location, source, and actor fields are populated and resolve to configured entities.",,
IDN-010,"Replaying an already accepted interface event does not create a duplicate patient, encounter, order, result, charge, or payment.",idn_scale,IDN procurement norm,verified,must,no,,"Submit the same synthetic ADT, order, result, charge, claim acknowledgement, and remittance payload twice; compare object counts and verify idempotent acknowledgement or a controlled duplicate rejection.",,
IDN-011,The interface layer sustains the declared four-hospital benchmark mix and drains a queued backlog without silent loss or duplication.,idn_scale,IDN procurement norm,verified,should,no,,"Replay a 60-minute synthetic peak mix of ADT, scheduling, order, result, charge, and claim events at increasing rates; publish sustained throughput, p95 latency, errors, backlog size, drain time, and end-to-end count reconciliation.",,
IDN-012,A committed clinical or financial transaction remains retrievable and unchanged after a single application or database node failure.,idn_scale,IDN procurement norm,verified,must,yes,,"Hard-gate domain=data durability. Commit a manifest of notes, orders, results, charges, and payments; terminate one application node and one database node in separate runs, then checksum every retrieved record against the manifest.",,
IDN-013,"After a declared downtime event, the stack restores service, reconciles queued work, and prevents duplicate or missing transactions.",idn_scale,IDN procurement norm,verified,must,yes,,"Hard-gate domain=downtime recovery. Stop the clinical API and interface receiver during active synthetic workflows, queue supported transactions, restore service, and reconcile sequence, counts, acknowledgements, and user-visible state before and after recovery.",,
IDN-014,"Facility-specific departments, formularies, schedules, charge rules, and user assignments can vary without leaking configuration into another facility.",idn_scale,IDN procurement norm,verified,should,no,,"Configure conflicting department names, schedule templates, formulary entries, charge rules, and roles for two sites; execute identical workflows at both and verify each site applies only its own configuration.",,
IDN-015,Enterprise operational reports reconcile to site-level source records for the same cutoff time and inclusion rules.,idn_scale,IDN procurement norm,verified,should,no,,"Generate encounter, order, result, charge, and payment totals for each site and the enterprise at a fixed synthetic cutoff; verify enterprise totals equal the site sums and trace a sample of rows back to source records.",,
SEC-001,Each workforce user authenticates with a unique account and the stack can require multifactor authentication for privileged and remote access.,security,"HIPAA Security Rule 45 CFR 164.312(a)(1), (d); ONC 45 CFR 170.315(d)(1) (Active). MFA mandate is PROPOSED only (Jan 2025 HIPAA NPRM; projected final 2027)",verified,must,yes,,"Hard-gate domain=access control. Configure the identity provider for unique users and multifactor authentication; attempt local, federated, privileged, and remote sign-ins with valid, missing, expired, and replayed factors and inspect access and audit outcomes.",,
