rank,system_name,hq_city,hq_state,op_revenue_musd,op_income_musd,op_margin_pct,reporting_period,notes
1,"Tenet Healthcare","Dallas",TX,5400,1300,24.1,standard,"Incl. ~$413M one-time Conifer contract-conclusion gain"
2,"HCA Healthcare","Nashville",TN,19100,2290,12.0,standard,"Largest for-profit revenue base"
3,"Universal Health Services","King of Prussia",PA,4500,502.9,11.2,standard,"Acute + behavioral"
4,"BayCare Health System","Clearwater",FL,1800,187.2,10.6,standard,""
5,"NewYork-Presbyterian","New York",NY,3000,283,9.6,standard,""
6,"Community Health Systems","Franklin",TN,3000,281,9.5,standard,"Net loss despite positive op. margin"
7,"AdventHealth","Altamonte Springs",FL,6000,555,9.3,standard,""
8,"Baylor Scott & White Health","Dallas",TX,4400,321,7.4,derived_3mo,"Derived 3-mo (9-mo @3/31 minus 6-mo @12/31)"
9,"Mayo Clinic","Rochester",MN,5500,398,7.2,standard,""
10,"ProMedica","Toledo",OH,759.4,52.3,6.9,standard,"Expenses corrected to ~$707.1M (source listed $64.5M)"
11,"RWJBarnabas Health","West Orange",NJ,2950,180.6,6.1,standard,""
12,"Intermountain Health","Salt Lake City",UT,4800,227,4.8,standard,""
13,"Inova Health System","Fairfax",VA,1800,84.4,4.6,standard,""
14,"HonorHealth","Scottsdale",AZ,1100,47.4,4.2,standard,""
15,"Sanford Health","Sioux Falls",SD,3200,136.1,4.2,standard,""
16,"Corewell Health","Southfield",MI,4700,196.5,4.0,standard,"Revenue/expenses corrected to $B (source listed $M)"
17,"Advocate Health","Charlotte",NC,10200,380.1,3.7,standard,"Multi-region (NC/IL/WI)"
18,"Cleveland Clinic","Cleveland",OH,4700,172.8,3.7,standard,""
19,"Banner Health","Phoenix",AZ,4100,142.4,3.6,standard,"Op income corrected 180->142.4M (Beckers Q1 2026: $142.4M @ 3.6%)"
20,"UPMC","Pittsburgh",PA,8400,261,3.1,standard,"Large insurance arm"
21,"Orlando Health","Orlando",FL,2500,76.1,3.0,standard,""
22,"Novant Health","Winston-Salem",NC,3100,91.3,3.0,standard,""
23,"Northwell Health","New Hyde Park",NY,5300,144,2.7,standard,""
24,"Bon Secours Mercy Health","Cincinnati",OH,3700,97.7,2.6,standard,""
25,"BJC Health System","St. Louis",MO,3100,65,2.1,standard,"Post-2024 merger w/ Saint Luke's KC - confirm scope"
26,"Kaiser Permanente","Oakland",CA,34600,711,2.1,standard,"Revenue is mostly premium dollars"
27,"Sutter Health","Sacramento",CA,5200,84,1.6,standard,""
28,"Providence","Renton",WA,7500,111,1.5,standard,""
29,"Trinity Health","Livonia",MI,6700,45.6,0.7,derived_3mo,"Derived 3-mo (9-mo @3/31 minus 6-mo @12/31); 20+ states"
30,"Mount Sinai Health System","New York",NY,3100,23,0.7,standard,""
31,"Mass General Brigham","Somerville",MA,6000,20.2,0.3,standard,"Corrected: operating income ~$20.2M, not a $20.2B loss"
32,"Henry Ford Health","Detroit",MI,3400,6.6,0.2,standard,"Post-2024 Ascension MI JV - confirm scope"
33,"SSM Health","St. Louis",MO,3300,-7.4,-0.2,standard,""
34,"Indiana University Health","Indianapolis",IN,2350,-14.6,-0.6,standard,""
35,"Parkview Health","Fort Wayne",IN,873.4,-7.6,-0.9,standard,""
36,"Ascension","St. Louis",MO,6000,-64,-1.1,standard,"National; largest Catholic system"
37,"Allina Health","Minneapolis",MN,1500,-26.1,-1.7,standard,""
38,"Adventist Health","Roseville",CA,1900,-34,-1.8,standard,"West-coast Adventist (not AdventHealth)"
39,"University Hospitals","Cleveland",OH,1800,-60.7,-3.3,standard,""
40,"Montefiore Health System","New York",NY,2300,-104.9,-4.5,standard,"Steepest loss; heavy Medicaid/safety-net"
