id,requirement,pillar,authority,authority_status,tier,hard_gate,evidence_level,test_procedure,result,limitation,simulated_deps,in_scope
IDN-001,The stack assigns one enterprise patient identifier and returns the same identity when the same synthetic patient registers at any facility.,idn_scale,IDN procurement norm,verified,must,yes,demonstrated,Hard-gate domain=patient identity. Register the same synthetic person at two hospitals and two clinics using exact and near-match demographics; verify one enterprise identity is returned and every match decision is logged.,pass,Demonstrated with synthetic data; evidence packet retained.,,true
IDN-002,"An authorized user can merge confirmed duplicate patient records and reverse an erroneous merge without losing source identifiers, provenance, or clinical data.",idn_scale,IDN procurement norm,verified,must,yes,demonstrated,"Hard-gate domain=patient identity. Create two records for one synthetic patient with encounters in different sites; merge them, verify a single longitudinal view and retained aliases, then unmerge and compare all records with the pre-merge manifest.",pass,Demonstrated with synthetic data; evidence packet retained.,,true
IDN-003,"A demographic correction made at one site propagates to the enterprise record while retaining the prior value, source, and update time.",idn_scale,IDN procurement norm,verified,must,no,configured,"Correct a synthetic patient's name and address at one clinic; query the patient from every configured site and verify the new values, prior-value history, source facility, and timestamps.",partial,Gap: timestamp+source via meta (source=https://vitals-vars.local/issue-35/fixtures); NO discrete Provenance/actor on a raw correction (no correction engine). Partial: not every procedure step passed; evidence capped below demonstrated.,,true
IDN-004,"The stack ingests, validates, and routes admit, discharge, and transfer events for all configured hospitals without changing facility or encounter identity.",idn_scale,Industry standard (HL7 v2 ADT); IDN procurement norm,verified,must,no,demonstrated,"Replay synthetic A01, A02, A03, A08, and cancellation events from three facility senders; verify accepted and rejected messages, encounter state, facility identity, acknowledgements, and error-queue contents.",pass,Simulated dependencies: simulated-adt-sender. Demonstrated with synthetic data; evidence packet retained.,simulated-adt-sender,true
IDN-005,"A cross-site transfer preserves the patient's active encounter context, medication list, allergies, orders, results, and sending and receiving locations.",idn_scale,IDN procurement norm,verified,must,no,configured,"Transfer a synthetic inpatient from Hospital A to Hospital B; compare the sending manifest with the receiving chart and verify location history, active items, discontinued items, and transfer timestamps.",not_tested,Simulated dependencies: simulated-adt-sender. Configured-level only; full procedure not completed at this scope (preregistered not_tested).,simulated-adt-sender,true
IDN-006,"Enterprise scheduling supports create, reschedule, cancel, and no-show operations across facility, department, provider, room, and equipment resources.",idn_scale,IDN procurement norm,verified,must,no,demonstrated,"Create a multi-resource appointment at Clinic A, reschedule it to Clinic B, cancel it, and create a no-show; verify resource calendars, status history, notifications, and release of each reserved slot.",pass,Demonstrated with synthetic data; evidence packet retained.,,true
IDN-007,"An order entered at one site reaches the correct performing department and its result returns to the originating chart with unchanged patient, order, encounter, and facility references.",idn_scale,IDN procurement norm,verified,must,no,configured,"Place laboratory and imaging orders from two sites through the assembled interfaces; return synthetic results and compare identifiers and routing destinations end to end, including one deliberately misrouted result.",not_tested,Configured-level only; full procedure not completed at this scope (preregistered not_tested).,,true
IDN-008,"A referral can be created, accepted, scheduled, completed, and closed across separate ambulatory organizations with status visible to both sides.",idn_scale,IDN procurement norm,verified,should,no,configured,"Send a synthetic referral from primary care to specialty care; advance it through every state, reject one invalid transition, and verify status, ownership, appointment linkage, and closure documentation in both organizations.",partial,Gap: no referral state-machine engine exists in the slice; invalid-transition rejection is NOT domain-enforced (honest gap). Partial: not every procedure step passed; evidence capped below demonstrated.,,true
IDN-009,"Every clinical and administrative record identifies its owning organization, service location, source system, and responsible actor where applicable.",idn_scale,IDN procurement norm,verified,must,no,demonstrated,"Sample patient, encounter, order, result, note, appointment, charge, and claim records created at each site; assert that organization, location, source, and actor fields are populated and resolve to configured entities.",pass,Demonstrated with synthetic data; evidence packet retained.,,true
IDN-010,"Replaying an already accepted interface event does not create a duplicate patient, encounter, order, result, charge, or payment.",idn_scale,IDN procurement norm,verified,must,no,configured,"Submit the same synthetic ADT, order, result, charge, claim acknowledgement, and remittance payload twice; compare object counts and verify idempotent acknowledgement or a controlled duplicate rejection.",not_tested,"Simulated dependencies: simulated-adt-sender, simulated-payer. RCM engines run app-server-side (vmcontext sandbox has no payer egress). Configured-level only; full procedure not completed at this scope (preregistered not_tested).",simulated-adt-sender;simulated-payer,true
IDN-011,The interface layer sustains the declared four-hospital benchmark mix and drains a queued backlog without silent loss or duplication.,idn_scale,IDN procurement norm,verified,should,no,,"Replay a 60-minute synthetic peak mix of ADT, scheduling, order, result, charge, and claim events at increasing rates; publish sustained throughput, p95 latency, errors, backlog size, drain time, and end-to-end count reconciliation.",not_tested,Out of scope at this evidence cap; not run.,,false
IDN-012,A committed clinical or financial transaction remains retrievable and unchanged after a single application or database node failure.,idn_scale,IDN procurement norm,verified,must,yes,,"Hard-gate domain=data durability. Commit a manifest of notes, orders, results, charges, and payments; terminate one application node and one database node in separate runs, then checksum every retrieved record against the manifest.",fail,Preregistered hard-gate fail: out of scope at this evidence cap (load / durability / downtime / reconciliation beyond the slice).,,false
IDN-013,"After a declared downtime event, the stack restores service, reconciles queued work, and prevents duplicate or missing transactions.",idn_scale,IDN procurement norm,verified,must,yes,,"Hard-gate domain=downtime recovery. Stop the clinical API and interface receiver during active synthetic workflows, queue supported transactions, restore service, and reconcile sequence, counts, acknowledgements, and user-visible state before and after recovery.",fail,Preregistered hard-gate fail: out of scope at this evidence cap (load / durability / downtime / reconciliation beyond the slice).,,false
IDN-014,"Facility-specific departments, formularies, schedules, charge rules, and user assignments can vary without leaking configuration into another facility.",idn_scale,IDN procurement norm,verified,should,no,configured,"Configure conflicting department names, schedule templates, formulary entries, charge rules, and roles for two sites; execute identical workflows at both and verify each site applies only its own configuration.",not_tested,Configured-level only; full procedure not completed at this scope (preregistered not_tested).,,true
IDN-015,Enterprise operational reports reconcile to site-level source records for the same cutoff time and inclusion rules.,idn_scale,IDN procurement norm,verified,should,no,,"Generate encounter, order, result, charge, and payment totals for each site and the enterprise at a fixed synthetic cutoff; verify enterprise totals equal the site sums and trace a sample of rows back to source records.",not_tested,Out of scope at this evidence cap; not run.,,false
SEC-001,Each workforce user authenticates with a unique account and the stack can require multifactor authentication for privileged and remote access.,security,"HIPAA Security Rule 45 CFR 164.312(a)(1), (d); ONC 45 CFR 170.315(d)(1) (Active). MFA mandate is PROPOSED only (Jan 2025 HIPAA NPRM; projected final 2027)",verified,must,yes,,"Hard-gate domain=access control. Configure the identity provider for unique users and multifactor authentication; attempt local, federated, privileged, and remote sign-ins with valid, missing, expired, and replayed factors and inspect access and audit outcomes.",fail,Preregistered hard-gate fail: out of scope at this evidence cap (load / durability / downtime / reconciliation beyond the slice).,,false
SEC-002,"Role and context rules prevent a user from reading, creating, changing, or exporting records outside the user's assigned duties and locations.",security,HIPAA Security Rule 45 CFR 164.308(a)(4) and 164.312(a)(1),verified,must,yes,demonstrated,"Hard-gate domain=access control. Create clinician, registrar, biller, auditor, and administrator accounts scoped to different sites; run a permission matrix across read, create, update, delete, and export actions and verify every unauthorized action is denied and logged.",pass,Demonstrated with synthetic data; evidence packet retained.,,true
SEC-003,"Emergency break-glass access requires a reason, grants only time-limited access, and produces an immediately reviewable audit event.",security,IDN procurement norm,verified,must,yes,,"Hard-gate domain=access control. Use a user without normal chart access to invoke break glass with and without a reason; verify denial when incomplete, bounded access when valid, automatic expiry, alert generation, and audit content.",fail,Preregistered hard-gate fail: out of scope at this evidence cap (load / durability / downtime / reconciliation beyond the slice).,,false
SEC-004,"Disabling a workforce account revokes active sessions and blocks new access across clinical, administrative, API, and reporting components.",security,HIPAA Security Rule 45 CFR 164.308(a)(3),verified,must,yes,demonstrated,"Hard-gate domain=access control. Start interactive and API sessions for a synthetic user, disable the identity-provider account, and measure revocation across every component; verify subsequent requests fail and the termination is audited.",pass,Demonstrated with synthetic data; evidence packet retained.,,true
SEC-005,"The stack records successful and failed authentication plus patient-record create, read, update, delete, print, export, and administrative actions.",security,HIPAA Security Rule 45 CFR 164.312(b); ONC 45 CFR 170.315(d)(2) (Active),verified,must,yes,demonstrated,"Hard-gate domain=auditability. Execute each listed action through the UI and API, including denied attempts; query the audit store and match every action to user, patient where relevant, time, site, action, outcome, and source component.",pass,Demonstrated with synthetic data; evidence packet retained.,,true
SEC-006,"Authorized auditors can search an append-only audit history by user, patient, site, action, and time without altering the underlying events.",security,ONC 45 CFR 170.315(d)(3) (Active); IDN procurement norm,verified,must,yes,demonstrated,"Hard-gate domain=auditability. Generate a known event set, run each supported filter, export the report, attempt to edit and delete events through application and database roles, and verify results are complete and mutation attempts fail or trigger tamper evidence.",pass,Demonstrated with synthetic data; evidence packet retained.,,true
SEC-007,The stack detects unauthorized alteration of stored clinical records and interface payloads.,security,HIPAA Security Rule 45 CFR 164.312(c)(1); ONC 45 CFR 170.315(d)(8) (Active),verified,must,no,configured,"Record hashes or signatures for a synthetic note, result, order, and inbound message; alter copies through a controlled privileged test and verify integrity checks identify each change and preserve the original evidence.",not_tested,Simulated dependencies: simulated-adt-sender. Configured-level only; full procedure not completed at this scope (preregistered not_tested).,simulated-adt-sender,true
SEC-008,"Protected data is encrypted in transit and at rest across application, database, object storage, queue, backup, and integration components.",security,"HIPAA Security Rule 45 CFR 164.312(a)(2)(iv) and 164.312(e)(1) (encryption is ADDRESSABLE under the in-force rule; mandatory encryption is PROPOSED only, Jan 2025 NPRM)",verified,must,no,configured,"Inspect configuration and negotiate connections for every component boundary; reject plaintext paths, verify certificate validation, inspect storage encryption settings, and test that snapshots and backups are unreadable without authorized keys.",not_tested,Configured-level only; full procedure not completed at this scope (preregistered not_tested).,,true
SEC-009,"Secrets and encryption keys are held outside source code, scoped to the minimum component, rotated, and revoked without rebuilding the stack.",security,IDN procurement norm,verified,must,no,configured,"Scan repositories and built images for seeded test secrets, enumerate runtime secret scopes, rotate database, API, and encryption credentials, revoke old values, and verify continued service plus failed use of revoked credentials.",not_tested,Configured-level only; full procedure not completed at this scope (preregistered not_tested).,,true
